Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,6/1/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5234.819766,5647.623854,5780.597363,5871.117949,6057.04175,6462.088288,6810.133282,7327.999297,7317.556065,8003.463977,8212.669635,8296.884674,8814.829988,9283.017396,9661.287314,10268.51134,11277.62022,12310.29127,13081.99784,11934.05703,12854.16073,13634.26347,14210.96224,15545.86513,16011.86847,15839.30239,
Central African Republic,CAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,602.9490287,604.5300243,563.9448206,564.3708326,589.2280528,628.9487019,600.1811254,627.9680958,649.91859,669.3452517,654.5030081,686.6588996,710.2287819,674.1987772,722.3714073,739.8246929,785.0942717,828.0778115,845.9026107,850.7780492,870.7393375,900.6397845,936.6388711,590.8069806,595.7958883,618.7528586,
Canada,CAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,20107.83069,20060.67282,20446.6282,21255.05357,22465.80305,23354.27219,23904.84893,25087.99726,26117.61173,27656.67692,29185.35506,30073.91281,30851.31148,32189.0616,33754.86956,36134.60224,38009.876,39441.96779,40277.61931,38791.07469,40027.24021,41565.27122,42145.09786,44150.41378,45126.45874,44261.838,
Central Europe and the Baltics,CEB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6874.707272,6447.176238,6494.691192,6753.241477,7186.390054,7769.486259,8284.473449,8674.395056,9063.441188,9374.541964,9997.429347,10802.16742,11593.40897,12330.54566,13462.8547,14283.3191,15884.47965,17631.24447,19519.37161,19520.63246,20755.32529,22156.265,22943.70339,23975.5792,25053.02152,26155.75676,
Switzerland,CHE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,27523.7644,27829.4246,28139.41145,28511.78335,29254.14359,29808.04344,30499.92845,31799.74536,32877.58605,33810.77097,35675.09453,36862.11294,37682.13947,37611.51842,39135.82669,40457.73086,44951.62866,49467.22055,52317.57054,51632.65359,52935.80414,55918.73283,57590.70118,59842.26486,61282.10989,62557.49131,
Channel Islands,CHI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4407.204479,4887.033391,5579.525929,6077.837187,6528.177649,7338.522927,7993.252483,8599.416631,8907.98353,8846.42962,9848.898397,10249.82649,10535.56041,11133.57073,11991.27253,12964.80494,15637.69644,16841.56003,16437.57209,16226.14868,18249.54077,20266.03603,21370.09931,22543.94374,22909.79625,23366.58391,
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,986.5684444,1099.052304,1268.271708,1461.610447,1668.580757,1869.46645,2070.771752,2277.207009,2458.630831,2664.485215,2933.31502,3226.84868,3551.663897,3961.274167,4455.20533,5092.560189,5883.719784,6863.982229,7635.073139,8374.43285,9333.124882,10384.36732,11351.06284,12367.96586,13439.90764,14450.71622,
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2081.512055,2077.387429,2047.100685,2021.612975,2013.651778,2133.248811,2269.525254,2325.24034,2398.613584,2411.940058,2360.206139,2367.134018,2319.377597,2292.627944,2343.02927,2415.250437,2478.838227,2538.131677,2598.689986,2645.430634,2671.139553,2546.906812,2803.700937,3027.654639,3262.726564,3513.684726,
Cameroon,CMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1789.258373,1726.901947,1662.504905,1522.742747,1542.981123,1595.122677,1657.890457,1728.458535,1784.388818,1836.001013,1905.370959,1984.237936,2041.760122,2111.164252,2192.349746,2256.197358,2339.807259,2417.748926,2472.469533,2475.605671,2522.88181,2614.495561,2715.35411,2840.321368,2986.974188,3115.278819,
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,819.3605853,746.584173,656.7518966,559.1560783,528.7577811,525.7872597,514.7595533,481.5914621,467.4798298,443.2927607,410.9759541,399.8600909,405.4826844,423.0995119,449.3959026,476.737205,501.115433,529.2218734,554.8883649,556.7280751,584.2600548,617.1479614,652.3885874,696.8737974,748.9823085,784.3652321,
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3397.586071,3501.371141,3580.067405,3535.981191,3324.439887,3436.549232,3552.014034,3493.113944,3564.540556,3433.823369,3684.100083,3819.679366,3965.123278,3985.667797,4137.021948,4482.453591,4770.057891,4675.456706,4879.038556,5125.450614,5482.111376,5632.435875,5803.0888,5949.585277,6307.901691,6381.087257,
Colombia,COL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4869.162131,5050.719252,5327.885353,5485.499263,5827.996645,6155.688368,6294.865168,6520.037003,6528.900673,6256.810181,6585.333975,6750.687139,6927.320919,7241.331945,7732.320562,8248.354961,8957.336622,9710.901183,10132.23949,10260.20522,10680.00208,11496.52725,12058.4613,12725.20984,13394.0792,13829.06823,
Comoros,COM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1025.25869,973.1297276,1049.070602,1074.736267,1010.43598,1039.187702,1016.089116,1046.379997,1043.18081,1051.765079,1162.375026,1186.637946,1203.0771,1222.978143,1250.253681,1295.42876,1337.740119,1351.097605,1349.836947,1353.195478,1366.097136,1396.033351,1429.09389,1466.937397,1487.777216,1483.440932,
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1072.881688,1098.18906,1214.281381,1314.933512,1556.830677,1766.690049,1951.156293,2149.792,2386.445015,2634.084751,3014.573813,3091.344374,3245.297399,3393.995816,3791.22093,4137.488011,4566.168268,5365.04509,5803.388602,5739.377528,5850.139556,6147.974534,6256.800841,6327.245992,6475.759662,6556.494711,
Costa Rica,CRI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5033.101569,5200.574132,5662.428727,6052.794902,6299.31802,6533.193292,6574.131821,6893.933972,7286.422718,7527.107713,7829.799001,8139.806031,8397.294271,8793.38528,9289.501101,9816.996574,10697.47348,11714.22544,12329.93565,12141.94039,12737.03979,13397.19269,14133.60921,14493.14204,15028.14728,15594.63582,
Caribbean small states,CSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5888.673001,6183.277623,6290.179568,6579.529489,6841.886682,7127.601326,7438.840243,7747.813624,7978.967962,8367.884792,8819.596729,9167.330844,9633.472004,10445.49452,11163.15334,11881.01587,13072.23982,13791.17609,14199.37866,13719.47154,14012.98853,14360.66504,14717.34496,15139.85369,15414.61821,15535.4532,
Cuba,CUB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,18924.72487,,,,,
